日期,TWSE收盤指數,TWSE開盤價,TWSE最高價,TWSE最低價,TWSE漲跌點數,TWSE漲跌幅,TPEX收盤指數,TPEX開盤價,TPEX最高價,TPEX最低價,TPEX漲跌點數,TPEX漲跌幅
2018-05-10,,,,,,,150.73,149.37,150.78,149.37,1.56,
2018-05-11,,,,,,,150.9,150.86,152.11,150.85,0.17,
2018-05-14,,,,,,,153.49,151.16,153.57,151.16,2.59,
2018-05-15,,,,,,,152.57,153.44,154.21,152.45,-0.92,
2018-05-16,,,,,,,152.66,152.51,154.77,152.5,0.09,
2018-05-17,,,,,,,151.93,152.81,154.1,151.88,-0.73,
2018-05-18,,,,,,,152.03,152.01,152.87,151.64,0.1,
2018-05-21,,,,,,,153.12,152.24,153.39,152.24,1.09,
2018-05-22,,,,,,,152.63,153.35,154.05,152.37,-0.49,
2018-05-23,,,,,,,152.41,152.69,153.35,151.74,-0.22,
2018-05-24,,,,,,,153.51,152.61,153.55,152.57,1.1,
2018-05-25,,,,,,,154.23,153.52,154.84,153.51,0.72,
2018-05-28,,,,,,,155.3,154.44,155.63,154.44,1.07,
2018-05-29,,,,,,,155.18,155.37,156.3,154.94,-0.12,
2018-05-30,,,,,,,155.28,154.88,155.53,154.17,0.1,
2018-05-31,,,,,,,155.98,155.48,157.27,155.29,0.7,
2018-06-01,,,,,,,156.53,156.08,157.12,155.95,0.55,
2018-06-04,,,,,,,158.04,156.81,158.33,156.81,1.51,
2018-06-05,,,,,,,157.36,158.26,158.93,156.36,-0.68,
2018-06-06,,,,,,,159.07,157.46,159.07,157.46,1.71,
2018-06-07,,,,,,,158.84,159.2,160.41,158.84,-0.23,
2018-06-08,,,,,,,157.75,158.52,158.8,157.24,-1.09,
2018-06-11,,,,,,,158.47,157.64,158.8,157.59,0.72,
2018-06-12,,,,,,,158.99,158.61,160.21,158.61,0.52,
2018-06-13,,,,,,,157.87,159.21,160.27,157.87,-1.12,
2018-06-14,,,,,,,157.58,157.72,158.41,157.36,-0.29,
2018-06-15,,,,,,,157.55,157.66,158.33,157.42,-0.03,
2018-06-19,,,,,,,154.93,157.3,157.3,154.93,-2.62,
2018-06-20,,,,,,,153.62,154.98,155.61,151.79,-1.31,
2018-06-21,,,,,,,155.57,153.68,155.78,153.68,1.95,
2018-06-22,,,,,,,154.07,155.46,155.46,153.48,-1.5,
2018-06-25,,,,,,,153.74,154.02,154.9,153.57,-0.33,
2018-06-26,,,,,,,153.56,153.51,153.88,152.14,-0.18,
2018-06-27,,,,,,,153.81,153.47,154.79,153.47,0.25,
2018-06-28,,,,,,,152.12,153.55,153.93,152.1,-1.69,
2018-06-29,,,,,,,153.53,152.18,153.53,152.18,1.41,
2018-07-02,,,,,,,152.96,153.56,154.55,152.96,-0.57,
2018-07-03,,,,,,,150.76,152.74,153.78,150.34,-2.2,
2018-07-04,,,,,,,149.26,150.62,150.96,148.45,-1.5,
2018-07-05,,,,,,,146.54,149.07,149.62,146.39,-2.72,
2018-07-06,,,,,,,146.98,146.45,147.83,144.35,0.44,
2018-07-09,,,,,,,147.94,146.99,148.38,146.96,0.96,
2018-07-10,,,,,,,149.56,147.98,149.56,147.98,1.62,
2018-07-11,,,,,,,148.78,149.28,149.45,148.09,-0.78,
2018-07-12,,,,,,,150.16,148.54,150.16,148.54,1.38,
2018-07-13,,,,,,,151.81,150.42,152.26,150.42,1.65,
2018-07-16,,,,,,,152.46,151.88,153.11,151.88,0.65,
2018-07-17,,,,,,,151.26,152.18,153.08,151.21,-1.2,
2018-07-18,,,,,,,150.58,151.36,152.37,149.94,-0.68,
2018-07-19,,,,,,,151.13,150.63,151.5,150.61,0.55,
2018-07-20,,,,,,,150.05,151.29,152.34,149.73,-1.08,
2018-07-23,,,,,,,148.02,149.65,149.87,147.27,-2.03,
2018-07-24,,,,,,,149.96,147.78,149.96,147.78,1.94,
2018-07-25,,,,,,,150.48,149.68,150.6,149.63,0.52,
2018-07-26,,,,,,,151.46,150.32,151.81,150.32,0.98,
2018-07-27,,,,,,,152.12,151.34,152.12,151.34,0.66,
2018-07-30,,,,,,,150.09,152.09,152.22,149.84,-2.03,
2018-07-31,,,,,,,150.61,150.06,151.04,149.76,0.52,
2018-08-01,,,,,,,151.27,150.66,151.53,150.66,0.66,
2018-08-02,,,,,,,148.95,151.19,151.39,148.79,-2.32,
2018-08-03,,,,,,,150.79,149.13,150.79,149.13,1.84,
2018-08-06,,,,,,,151.4,150.91,151.83,150.77,0.61,
2018-08-07,,,,,,,151.86,151.56,152.15,151.48,0.46,
2018-08-08,,,,,,,150.72,151.96,152.47,150.53,-1.14,
2018-08-09,,,,,,,149.45,150.59,150.74,149.23,-1.27,
2018-08-10,,,,,,,148.54,149.44,150.14,148.54,-0.91,
2018-08-13,,,,,,,142.7,148.17,148.17,141.18,-5.84,
2018-08-14,,,,,,,144.78,142.79,144.78,142.42,2.08,
2018-08-15,,,,,,,142.46,144.78,144.86,142.35,-2.32,
2018-08-16,,,,,,,142.19,142.15,142.53,140.1,-0.27,
2018-08-17,,,,,,,141.6,142.32,143.52,141.6,-0.59,
2018-08-20,,,,,,,139.71,141.71,142.06,139.13,-1.89,
2018-08-21,,,,,,,141.77,139.72,141.77,139.72,2.06,
2018-08-22,,,,,,,141.23,141.76,142.16,141.15,-0.54,
2018-08-23,,,,,,,141.0,141.13,141.69,140.67,-0.23,
2018-08-24,,,,,,,139.44,140.9,140.9,139.08,-1.56,
2018-08-27,,,,,,,141.76,139.42,141.76,139.42,2.32,
2018-08-28,,,,,,,141.99,141.81,142.8,141.81,0.23,
2018-08-29,,,,,,,142.46,142.03,142.64,142.03,0.47,
2018-08-30,,,,,,,143.03,142.45,143.48,142.45,0.57,
2018-08-31,,,,,,,143.53,143.04,143.53,142.56,0.5,
2018-09-03,,,,,,,140.57,143.58,143.72,140.55,-2.96,
2018-09-04,,,,,,,142.08,140.91,142.21,140.91,1.51,
2018-09-05,,,,,,,141.61,141.96,142.58,141.56,-0.47,
2018-09-06,,,,,,,140.87,141.55,141.75,140.83,-0.74,
2018-09-07,,,,,,,137.26,140.81,141.02,136.52,-3.61,
2018-09-10,,,,,,,132.37,137.17,137.22,132.34,-4.89,
2018-09-11,,,,,,,133.29,132.46,133.65,131.68,0.92,
